Partner_ID,Partner_Name,Intern_ID,Intern_Name,Intern_Assigned_To,Service_Type,Fee_Charged,Payment_Status,Country,Start_Date,End_Date,Intern_Hours,Feedback_Rating
P001,CloudSoft,I1000,Nathan Stevens,CloudSoft,Branding,799,Paid,Nigeria,2025-04-02,2025-08-28,398.0,3.0
P005,CloudSoft,I1001,Mario Alvarez,CloudSoft,Masterclass,1621,Pending,United States,2024-08-26,2025-06-25,91.0,2.0
P003,Alpha Tech,I1002,Shane Fuller,Alpha Tech,Masterclass,1718,Failed,Canada,2025-05-18,2025-12-15,88.0,4.0
P008,EcoTrans,I1003,Nicholas West,EcoTrans,Analytics,995,Paid,Canada,2025-04-24,2025-11-22,482.5,4.0
P004,Betta Ltd.,I1004,Matthew Harper,Betta Ltd.,Web Dev,1568,Failed,Nigeria,2023-10-06,2025-07-21,686.0,5.0
P007,Skyline Inc.,I1005,Unknown,Skyline Inc.,Masterclass,930,Failed,Germany,2024-05-11,2025-05-09,15.0,1.0
P010,EcoTrans,I1006,Elizabeth Gentry,EcoTrans,Branding,1042,Failed,Canada,2025-02-13,2025-04-28,1190.0,3.0
P009,InfinitX,I1007,Ashley Fox,InfinitX,Growth Strategy,572,Failed,Germany,2024-04-06,2024-08-24,482.5,3.0
P005,EcoTrans,I1008,James Scott,EcoTrans,Social Media,1353,Pending,Canada,2025-09-09,2025-12-12,1138.0,5.0
P002,InfinitX,I1009,Unknown,InfinitX,SEO,696,Paid,Germany,2024-08-19,2025-04-01,244.0,3.0
P006,Betta Ltd.,I1010,Taylor Greene,Betta Ltd.,Social Media,1640,Failed,Nigeria,2024-10-30,2025-09-14,605.0,2.0
P003,EcoTrans,I1011,Jerry Johnson,EcoTrans,Social Media,885,Paid,Nigeria,2024-09-06,2024-11-23,111.0,3.0
P010,Betta Ltd.,I1012,Nicholas Bishop,Betta Ltd.,Branding,886,Paid,United Kingdom,2023-12-03,2025-05-28,927.0,1.0
P007,Betta Ltd.,I1013,Andrew Simmons,Betta Ltd.,Cloud Migration,1647,Pending,Canada,2024-05-29,2024-10-02,107.0,5.0
P001,Betta Ltd.,I1014,Patrick Green,Betta Ltd.,Growth Strategy,1582,Pending,United Kingdom,2025-06-27,2025-12-08,482.5,1.0
P004,TechBridge,I1015,Shannon Hartman,TechBridge,Web Dev,850,Failed,United States,2024-12-06,2025-01-07,31.0,4.0
P001,Green Energy,I1016,Edward Brown,Green Energy,Growth Strategy,469,Pending,United States,2024-07-11,2024-09-02,277.0,3.0
P004,Nova Systems,I1017,James Wright,Nova Systems,Social Media,892,Failed,United States,2023-10-08,2023-11-01,482.0,3.0
P009,InfinitX,I1018,Kathy Preston,InfinitX,Branding,1150,Paid,United Kingdom,2024-03-09,2024-04-09,1058.0,3.0
P002,Betta Ltd.,I1019,Angela Meyers,Betta Ltd.,Branding,1126,Pending,United Kingdom,2025-05-26,2025-08-19,1092.0,3.0
P007,Nova Systems,I1020,Jesus Rodriguez DDS,Nova Systems,Branding,1533,Paid,Canada,2023-11-27,2025-04-07,620.0,2.0
P009,EcoTrans,I1021,Jessica Clark,EcoTrans,Cloud Migration,200,Pending,Canada,2024-04-27,2025-04-30,156.0,3.0
P008,TechBridge,I1022,Jaime Callahan,TechBridge,Analytics,1907,Failed,United States,2024-02-21,2024-04-22,482.5,2.0
P010,Green Energy,I1023,Johnathan Smith,Green Energy,Branding,1485,Paid,United States,2025-07-14,2025-08-01,482.5,3.0
P006,TechBridge,I1024,Dr. Ryan Peters,TechBridge,Social Media,1628,Paid,Germany,2025-07-13,2025-12-01,482.5,2.0
P009,Green Energy,I1025,Amanda Walter,Green Energy,Cloud Migration,1090,Failed,United Kingdom,2024-02-29,2024-03-12,482.5,3.0
P004,TechBridge,I1026,Robin Blair,TechBridge,Cloud Migration,448,Failed,Germany,2025-08-15,2025-11-24,482.5,3.0
P005,Betta Ltd.,I1027,Seth Rivas,Betta Ltd.,Masterclass,1585,Pending,United Kingdom,2024-10-29,2025-08-19,482.5,2.0
P009,InfinitX,I1028,Courtney Fisher,InfinitX,Growth Strategy,436,Failed,United Kingdom,2023-12-12,2025-06-01,482.5,4.0
P001,Skyline Inc.,I1029,David Joyce,Skyline Inc.,Social Media,1818,Pending,United Kingdom,2024-11-01,2025-09-11,705.0,3.0
P007,TechBridge,I1030,Donna Cruz,TechBridge,Analytics,1150,Failed,Canada,2025-03-24,2025-11-13,465.0,4.0
P010,TechBridge,I1031,David Garrett,TechBridge,Branding,494,Pending,United Kingdom,2024-08-16,2025-04-22,482.5,3.0
P003,Betta Ltd.,I1032,Michael Floyd,Betta Ltd.,Branding,510,Pending,Nigeria,2025-04-08,2025-06-12,328.0,2.0
P005,Betta Ltd.,I1033,Paula Jacobson,Betta Ltd.,Analytics,779,Pending,United Kingdom,2025-07-05,2025-12-10,482.5,4.0
P004,Alpha Tech,I1034,Ruth Andersen,Alpha Tech,Branding,1332,Pending,United Kingdom,2024-09-07,2024-09-19,828.0,3.0
P004,Green Energy,I1035,Howard Nash,Green Energy,SEO,595,Pending,Germany,2025-03-09,2025-10-25,482.5,3.0
P005,Green Energy,I1036,Chad Dunn,Green Energy,Growth Strategy,961,Failed,Nigeria,2024-02-22,2025-07-12,483.0,5.0
P005,DataCore,I1037,Sheila Armstrong,DataCore,Growth Strategy,870,Pending,United States,2023-10-15,2024-11-06,131.0,2.0
P010,Nova Systems,I1038,Jessica Boyer,Nova Systems,Web Dev,190,Pending,United States,2025-05-11,2025-08-08,134.0,1.0
P006,Nova Systems,I1039,Kim Martinez,Nova Systems,SEO,1767,Pending,Nigeria,2024-03-30,2025-01-17,454.0,1.0
P001,Green Energy,I1040,Stephen Washington,Green Energy,Growth Strategy,220,Failed,United States,2024-08-15,2024-11-03,482.5,3.0
P009,InfinitX,I1041,Jeanette Scott,InfinitX,Masterclass,431,Pending,Nigeria,2025-04-09,2025-10-18,793.0,1.0
P002,InfinitX,I1042,Unknown,InfinitX,Social Media,1711,Failed,United Kingdom,2024-06-16,2025-09-11,482.5,1.0
P009,Betta Ltd.,I1043,Christopher Bryan Jr.,Betta Ltd.,SEO,528,Pending,United States,2024-04-18,2025-10-24,825.0,2.0
P003,EcoTrans,I1044,Dale Torres,EcoTrans,Cloud Migration,1921,Pending,Germany,2024-09-11,2025-08-09,401.0,3.0
P004,CloudSoft,I1045,Samantha Garcia,CloudSoft,Growth Strategy,703,Pending,United Kingdom,2025-05-03,2025-09-14,163.0,3.0
P002,CloudSoft,I1046,Amy Ryan,CloudSoft,Branding,289,Pending,Nigeria,2024-09-12,2024-09-20,170.0,1.0
P009,EcoTrans,I1047,Jennifer Hunt,EcoTrans,Growth Strategy,383,Paid,Germany,2024-05-23,2024-07-29,482.5,1.0
P009,EcoTrans,I1048,Leslie Johnson,EcoTrans,Analytics,1395,Failed,United States,2025-06-15,2025-08-20,961.0,3.0
P007,CloudSoft,I1049,Shawn Williams,CloudSoft,Growth Strategy,991,Pending,Germany,2024-04-24,2024-06-26,642.0,2.0
P002,Nova Systems,I1050,Zachary Wilkerson,Nova Systems,Cloud Migration,286,Paid,United States,2024-09-16,2025-05-18,950.0,3.0
P003,Betta Ltd.,I1051,Elizabeth Turner,Betta Ltd.,Branding,711,Paid,Nigeria,2024-08-16,2025-08-12,482.5,1.0
P004,EcoTrans,I1052,Mariah Burns,EcoTrans,Masterclass,625,Failed,United Kingdom,2024-06-06,2024-08-22,462.0,2.0
P009,CloudSoft,I1053,Derek Chang,CloudSoft,Web Dev,1394,Failed,United States,2025-02-24,2025-07-19,284.0,5.0
P007,Nova Systems,I1054,Michele Mcintyre,Nova Systems,Analytics,1214,Paid,Germany,2025-02-24,2025-03-13,413.0,1.0
P007,Nova Systems,I1055,William Harris,Nova Systems,SEO,712,Failed,Nigeria,2024-05-21,2024-06-22,1042.0,2.0
P004,Alpha Tech,I1056,Unknown,Alpha Tech,Web Dev,273,Failed,United Kingdom,2025-08-01,2025-10-31,1082.0,3.0
P003,EcoTrans,I1057,Hannah Sloan,EcoTrans,Growth Strategy,380,Pending,United States,2024-11-15,2025-06-18,984.0,3.0
P004,DataCore,I1058,Andrew Thomas,DataCore,Branding,1434,Pending,United Kingdom,2025-03-05,2025-11-29,186.0,3.0
P004,Skyline Inc.,I1059,Elijah Gray,Skyline Inc.,Social Media,540,Failed,United Kingdom,2025-03-19,2025-07-18,1166.0,2.0
P006,EcoTrans,I1060,Kevin Jones,EcoTrans,Growth Strategy,348,Paid,United Kingdom,2025-04-07,2025-08-22,482.5,4.0
P010,DataCore,I1061,David Hoover,DataCore,Web Dev,546,Pending,United States,2025-02-16,2025-04-30,199.0,1.0
P010,Green Energy,I1062,Michael Rogers,Green Energy,SEO,1500,Pending,Canada,2025-03-27,2025-08-24,771.0,2.0
P008,Green Energy,I1063,Taylor Clark,Green Energy,Growth Strategy,518,Failed,Canada,2023-12-28,2024-03-13,482.5,3.0
P006,Betta Ltd.,I1064,Jessica Larsen,Betta Ltd.,Growth Strategy,1380,Pending,United Kingdom,2025-07-29,2025-10-22,680.0,3.0
P010,InfinitX,I1065,Christopher Davidson,InfinitX,Branding,1964,Paid,United Kingdom,2024-10-03,2025-02-14,451.0,5.0
P001,Skyline Inc.,I1066,Eric Armstrong,Skyline Inc.,Social Media,1367,Pending,Canada,2025-05-01,2025-05-07,482.5,3.0
P004,Nova Systems,I1067,Thomas Kelly,Nova Systems,Analytics,734,Failed,Canada,2024-07-15,2025-07-16,731.0,2.0
P008,Skyline Inc.,I1068,Michael Johnson,Skyline Inc.,Cloud Migration,1794,Failed,United Kingdom,2024-02-02,2025-05-18,117.0,1.0
P006,Betta Ltd.,I1069,Marcus Chavez,Betta Ltd.,Branding,1302,Pending,Germany,2024-01-15,2025-05-19,719.0,3.0
P004,Nova Systems,I1070,Patrick Harvey,Nova Systems,Growth Strategy,1419,Failed,Canada,2025-08-16,2025-09-26,990.0,2.0
P001,InfinitX,I1071,Brandon Gardner,InfinitX,SEO,283,Failed,Canada,2025-02-27,2025-08-17,482.5,2.0
P002,TechBridge,I1072,Holly Liu,TechBridge,Web Dev,449,Failed,United States,2024-01-25,2025-11-03,390.0,3.0
P008,Skyline Inc.,I1073,Gloria Stanton,Skyline Inc.,Cloud Migration,344,Pending,Germany,2024-04-29,2024-11-12,482.5,1.0
P009,DataCore,I1074,Unknown,DataCore,Cloud Migration,191,Failed,United Kingdom,2025-02-24,2025-11-18,744.0,3.0
P010,InfinitX,I1075,Jesus Lee,InfinitX,SEO,769,Paid,Nigeria,2024-06-16,2025-10-13,616.0,2.0
P007,Skyline Inc.,I1076,Deborah Smith,Skyline Inc.,Social Media,1516,Pending,Nigeria,2023-10-15,2024-12-24,1194.0,5.0
P008,Skyline Inc.,I1077,Julie Baldwin,Skyline Inc.,Cloud Migration,837,Failed,United States,2024-05-27,2025-09-28,1044.0,1.0
P004,Skyline Inc.,I1078,Donna Davis,Skyline Inc.,Web Dev,1074,Failed,Nigeria,2024-02-09,2024-12-14,482.5,4.0
P006,Betta Ltd.,I1079,Unknown,Betta Ltd.,Branding,475,Paid,Nigeria,2024-05-20,2025-11-17,486.0,1.0
P007,Green Energy,I1080,James Fields,Green Energy,Masterclass,906,Pending,Canada,2025-08-01,2025-09-08,796.0,2.0
P009,EcoTrans,I1081,Jonathan Beck,EcoTrans,Analytics,510,Pending,Nigeria,2025-03-04,2025-12-01,482.5,1.0
