Partner_ID,Partner_Name,Intern_ID,Intern_Name,Intern_Assigned_To,Service_Type,Fee_Charged,Payment_Status,Country,Start_Date,End_Date,Intern_Hours,Feedback_Rating
P001,CloudSoft,I1000,Nathan Stevens,CloudSoft,Branding,799USD,Paid,Nigeria,2025-04-02,2025-08-28,398.0,3
P005,CloudSoft,I1001,Mario Alvarez,CloudSoft,Masterclass,1621,Pending,United States,2024-08-26,2025-06-25,91.0,bad
P003,Alpha Tech,I1002,Shane Fuller,Alpha Tech,Masterclass,$1718,Failed,Canda,2025-05-18,2025-12-15,88.0,4
P008,EcoTrans,I1003,Nicholas West,EcoTrans,Analytics,USD995,Paid,Canda,2025-04-24,2025-11-22,,4
P004,Betta Ltd.,I1004,Matthew Harper,Betta Ltd.,Web Dev,$1568,Fail,Nigeria,2023-10-06,2025-07-21,686.0,5
P007,Skyline Inc.,I1005,,Skyline Inc.,Masterclass,930USD,Failed,Germany,2024-05-11,2025-05-09,15.0,1
P010,EcoTrans,I1006,Elizabeth Gentry,EcoTrans,Branding,$1042,Failed,Canada,2025-02-13,2025-04-28,1190.0,Good
P009,InfinitX,I1007,Ashley Fox,InfinitX,Growth Strategy,USD572,Fail,Germany,2024-04-06,2024-08-24,,3
P005,EcoTrans,I1008,James Scott,EcoTrans,Social Media,1353,Pendig,Canda,2025-09-09,2025-12-12,1138.0,5
P002,InfinitX,I1009,,InfinitX,SEO,$696,Paid,Germany,2024-08-19,2025-04-01,244.0,Good
P006,Betta Ltd.,I1010,Taylor Greene,Betta Ltd.,Social Media,1640USD,Failed,Naija,2024-10-30,2025-09-14,605.0,bad
P003,EcoTrans,I1011,Jerry Johnson,EcoTrans,Social Media,USD885,Paid,Nig,2024-09-06,2024-11-23,111.0,Good
P010,Betta Ltd.,I1012,Nicholas Bishop,Betta Ltd.,Branding,886USD,Paid,UK,2023-12-03,2025-05-28,927.0,poor
P007,Betta Ltd.,I1013,Andrew Simmons,Betta Ltd.,Cloud Migration,USD1647,Pendig,Canada,2024-05-29,2024-10-02,107.0,excellent
P001,Betta Ltd.,I1014,Patrick Green,Betta Ltd.,Growth Strategy,USD1582,Pending,U.K.,2025-06-27,2025-12-08,,1
P004,TechBridge,I1015,Shannon Hartman,TechBridge,Web Dev,850,Failed,United States,2024-12-06,2025-01-07,31.0,4
P001,Green Energy,I1016,Edward Brown,Green Energy,Growth Strategy,469USD,Pendig,United States,2024-07-11,2024-09-02,277.0,
P004,Nova Systems,I1017,James Wright,Nova Systems,Social Media,892,Fail,United States,2023-10-08,2023-11-01,482.0,
P009,InfinitX,I1018,Kathy Preston,InfinitX,Branding,1150,Paid,U.K.,2024-03-09,2024-04-09,1058.0,
P002,Betta Ltd.,I1019,Angela Meyers,Betta Ltd.,Branding,$1126,Pending,U.K.,2025-05-26,2025-08-19,1092.0,
P007,Nova Systems,I1020,Jesus Rodriguez DDS,Nova Systems,Branding,1533,Paid,Canda,2023-11-27,2025-04-07,620.0,bad
P009,EcoTrans,I1021,Jessica Clark,EcoTrans,Cloud Migration,200,Pending,Canada,2024-04-27,2025-04-30,156.0,Good
